CELLINE,CELLINE_NAME,DRUG_NAME,ADDITIVE_CONC,REPEAT,REP,DRUG_CONC,DV
1,WT,Dactolisib,4.5,1,3,0.00228623685413809,88.5689967805203
1,WT,Dactolisib,4.5,1,3,0.00685871056241427,71.8943122525256
1,WT,Dactolisib,4.5,1,3,0.0205761316872428,31.2844613847463
1,WT,Dactolisib,4.5,1,3,0.0617283950617284,20.2827221255967
1,WT,Dactolisib,4.5,1,3,0.185185185185185,16.4637530992118
1,WT,Dactolisib,4.5,1,3,0.555555555555556,12.1119046737964
1,WT,Dactolisib,4.5,1,3,1.66666666666667,10.7686045220738
1,WT,Dactolisib,3,1,1,0,78.0213757193752
1,WT,Dactolisib,3,1,1,0.000762078951379363,72.6363387229378
1,WT,Dactolisib,3,1,1,0.00228623685413809,70.6714168265278
1,WT,Dactolisib,3,1,1,0.00685871056241427,62.6719649218964
1,WT,Dactolisib,3,1,1,0.0205761316872428,29.3998355713894
1,WT,Dactolisib,3,1,1,0.0617283950617284,20.5124691696355
1,WT,Dactolisib,3,1,1,0.185185185185185,13.6146889558783
1,WT,Dactolisib,3,1,1,0.555555555555556,10.3014524527268
1,WT,Dactolisib,3,1,1,1.66666666666667,9.28199506714168
1,WT,Dactolisib,3,1,2,0,76.8374897232118
1,WT,Dactolisib,3,1,2,0.000762078951379363,75.3411893669499
1,WT,Dactolisib,3,1,2,0.00228623685413809,87.7308851740203
1,WT,Dactolisib,3,1,2,0.00685871056241427,49.6574403946287
1,WT,Dactolisib,3,1,2,0.0205761316872428,32.7870649493012
1,WT,Dactolisib,3,1,2,0.0617283950617284,17.2485612496574
1,WT,Dactolisib,3,1,2,0.185185185185185,13.3598246094821
1,WT,Dactolisib,3,1,2,0.555555555555556,10.4083310496026
1,WT,Dactolisib,3,1,2,1.66666666666667,8.69005206906002
1,WT,Dactolisib,3,1,3,0,66.9388873664018
1,WT,Dactolisib,3,1,3,0.000762078951379363,63.3872293779118
1,WT,Dactolisib,3,1,3,0.00228623685413809,65.3110441216772
1,WT,Dactolisib,3,1,3,0.00685871056241427,54.952041655248
1,WT,Dactolisib,3,1,3,0.0205761316872428,25.798848999726
1,WT,Dactolisib,3,1,3,0.0617283950617284,17.4705398739381
1,WT,Dactolisib,3,1,3,0.185185185185185,11.0578240613867
1,WT,Dactolisib,3,1,3,0.555555555555556,9.89860235681009
1,WT,Dactolisib,3,1,3,1.66666666666667,8.87914497122499
1,WT,Dactolisib,0,1,1,0,92.8496319663512
1,WT,Dactolisib,0,1,1,0.000762078951379363,87.9361437721059
1,WT,Dactolisib,0,1,1,0.00228623685413809,78.9981837300449
1,WT,Dactolisib,0,1,1,0.00685871056241427,64.0474142051429
1,WT,Dactolisib,0,1,1,0.0205761316872428,23.3438485804416
1,WT,Dactolisib,0,1,1,0.0617283950617284,23.2864926871236
1,WT,Dactolisib,0,1,1,0.185185185185185,13.9566007073893
1,WT,Dactolisib,0,1,1,0.555555555555556,11.5285345569257
1,WT,Dactolisib,0,1,1,1.66666666666667,11.2895516681006
