CELLINE,DRUG,ADDITIVE,ADDITIVE_CONC,REPEAT,REP,DRUG_CONC,DV,CELLINE_DRUG_ADDITIVE,CELLINE_DRUG_ADDITIVE_ADDITIVECONC,CELLINE_DRUG_ADDITIVE_ADDITIVECONC_REPEAT,CELLINE_NAME,DRUG_NAME,ADDITIVE_NAME,CELLINE_DRUG_ADDITIVE_NAME
1,1,1,3,2,2,0.185185185185185,0.134568860281878,1,2,6,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,3,2,2,0.555555555555556,0.0895572078570636,1,2,6,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,3,2,2,1.66666666666667,0.0595272444789701,1,2,6,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,3,2,3,0,1.12395960492731,1,2,6,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,3,2,3,0.000762078951379363,1.01229608256575,1,2,6,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,3,2,3,0.00228623685413809,0.796027078015759,1,2,6,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,3,2,3,0.00685871056241427,0.490001109754744,1,2,6,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,3,2,3,0.0205761316872428,0.388125624237044,1,2,6,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,3,2,3,0.0617283950617284,0.142758850294085,1,2,6,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,3,2,3,0.185185185185185,0.0981467095771835,1,2,6,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,3,2,3,0.555555555555556,0.0876262346021529,1,2,6,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,3,2,3,1.66666666666667,0.0661191876595272,1,2,6,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,3,3,1,0,1.09301770202096,1,2,7,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,3,3,1,0.000762078951379363,0.844592375891818,1,2,7,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,3,3,1,0.00228623685413809,0.773664885518971,1,2,7,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,3,3,1,0.00685871056241427,0.668885638377265,1,2,7,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,3,3,1,0.0205761316872428,0.461745126720201,1,2,7,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,3,3,1,0.0617283950617284,0.351592584853279,1,2,7,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,3,3,1,0.185185185185185,0.267858742052001,1,2,7,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,3,3,1,0.555555555555556,0.205080748679065,1,2,7,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,3,3,1,1.66666666666667,0.164960148064121,1,2,7,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,3,3,2,0,1.37959342069913,1,2,7,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,3,3,2,0.000762078951379363,0.832054688199648,1,2,7,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,3,3,2,0.00228623685413809,0.775097764112361,1,2,7,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,3,3,2,0.00685871056241427,0.656168840860921,1,2,7,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,3,3,2,0.0205761316872428,0.497656646467059,1,2,7,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,3,3,2,0.0617283950617284,0.324547001403027,1,2,7,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,3,3,2,0.185185185185185,0.248246216304964,1,2,7,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,3,3,2,0.555555555555556,0.204722529030717,1,2,7,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,3,3,2,1.66666666666667,0.172393205767336,1,2,7,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,3,3,3,0,1.20943908773396,1,2,7,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,3,3,3,0.000762078951379363,0.795695393892355,1,2,7,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,3,3,3,0.00228623685413809,0.990835547329771,1,2,7,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,3,3,3,0.00685871056241427,0.563658616675125,1,2,7,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,3,3,3,0.0205761316872428,0.562315292993821,1,2,7,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,3,3,3,0.0617283950617284,0.281381533777128,1,2,7,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,3,3,3,0.185185185185185,0.249768649810442,1,2,7,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,3,3,3,0.555555555555556,0.201856771843936,1,2,7,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,3,3,3,1.66666666666667,0.180094928206812,1,2,7,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,3,4,1,0,0.875131378199695,1,2,8,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,3,4,1,0.000762078951379363,0.809628750635701,1,2,8,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,3,4,1,0.00228623685413809,0.784607560603492,1,2,8,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,3,4,1,0.00685871056241427,0.625326326496016,1,2,8,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,3,4,1,0.0205761316872428,0.350601796914731,1,2,8,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,3,4,1,0.0617283950617284,0.241362942871673,1,2,8,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
